?biological_process	?bp_iri	?expr_genes	?total_genes	?ratio
"positive regulation of developmental pigmentation"	<http://purl.obolibrary.org/obo/GO_0048087>	1	11	0.090909090909090909090909
"positive regulation of early endosome to late endosome transport"	<http://purl.obolibrary.org/obo/GO_2000643>	1	11	0.090909090909090909090909
"positive regulation of epithelial to mesenchymal transition"	<http://purl.obolibrary.org/obo/GO_0010718>	6	66	0.090909090909090909090909
"positive regulation of fibroblast growth factor receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0045743>	1	11	0.090909090909090909090909
"positive regulation of glycogen biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0045725>	2	22	0.090909090909090909090909
"positive regulation of immunoglobulin secretion"	<http://purl.obolibrary.org/obo/GO_0051024>	1	11	0.090909090909090909090909
"positive regulation of long-term synaptic depression"	<http://purl.obolibrary.org/obo/GO_1900454>	2	22	0.090909090909090909090909
"positive regulation of natural killer cell proliferation"	<http://purl.obolibrary.org/obo/GO_0032819>	1	11	0.090909090909090909090909
"positive regulation of receptor recycling"	<http://purl.obolibrary.org/obo/GO_0001921>	2	22	0.090909090909090909090909
"positive regulation of steroid hormone biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0090031>	1	11	0.090909090909090909090909
"prolactin signaling pathway"	<http://purl.obolibrary.org/obo/GO_0038161>	1	11	0.090909090909090909090909
"protein autoprocessing"	<http://purl.obolibrary.org/obo/GO_0016540>	2	22	0.090909090909090909090909
"regulation of NAD(P)H oxidase activity"	<http://purl.obolibrary.org/obo/GO_0033860>	1	11	0.090909090909090909090909
"regulation of aerobic respiration"	<http://purl.obolibrary.org/obo/GO_1903715>	1	11	0.090909090909090909090909
"regulation of intracellular cholesterol transport"	<http://purl.obolibrary.org/obo/GO_0032383>	1	11	0.090909090909090909090909
"regulation of phospholipase A2 activity"	<http://purl.obolibrary.org/obo/GO_0032429>	1	11	0.090909090909090909090909
"regulation of removal of superoxide radicals"	<http://purl.obolibrary.org/obo/GO_2000121>	1	11	0.090909090909090909090909
"regulation of resting membrane potential"	<http://purl.obolibrary.org/obo/GO_0060075>	1	11	0.090909090909090909090909
"regulation of secondary heart field cardioblast proliferation"	<http://purl.obolibrary.org/obo/GO_0003266>	1	11	0.090909090909090909090909
"regulation of triglyceride biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0010866>	2	22	0.090909090909090909090909
"replication fork protection"	<http://purl.obolibrary.org/obo/GO_0048478>	1	11	0.090909090909090909090909
"secondary heart field specification"	<http://purl.obolibrary.org/obo/GO_0003139>	1	11	0.090909090909090909090909
"sialic acid transport"	<http://purl.obolibrary.org/obo/GO_0015739>	1	11	0.090909090909090909090909
"sleep"	<http://purl.obolibrary.org/obo/GO_0030431>	2	22	0.090909090909090909090909
"superoxide anion generation"	<http://purl.obolibrary.org/obo/GO_0042554>	2	22	0.090909090909090909090909
"synaptic transmission, cholinergic"	<http://purl.obolibrary.org/obo/GO_0007271>	2	22	0.090909090909090909090909
"tangential migration from the subventricular zone to the olfactory bulb"	<http://purl.obolibrary.org/obo/GO_0022028>	1	11	0.090909090909090909090909
"very long-chain fatty acid biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0042761>	2	22	0.090909090909090909090909
"face morphogenesis"	<http://purl.obolibrary.org/obo/GO_0060325>	5	56	0.089285714285714285714285
"regulation of cell shape"	<http://purl.obolibrary.org/obo/GO_0008360>	18	202	0.089108910891089108910891
"activation of JUN kinase activity"	<http://purl.obolibrary.org/obo/GO_0007257>	4	45	0.088888888888888888888888
"artery morphogenesis"	<http://purl.obolibrary.org/obo/GO_0048844>	7	79	0.088607594936708860759493
"visual learning"	<http://purl.obolibrary.org/obo/GO_0008542>	7	79	0.088607594936708860759493
"phospholipase C-activating G protein-coupled receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0007200>	10	113	0.088495575221238938053097
"negative regulation of cysteine-type endopeptidase activity involved in apoptotic process"	<http://purl.obolibrary.org/obo/GO_0043154>	13	147	0.088435374149659863945578
"response to dietary excess"	<http://purl.obolibrary.org/obo/GO_0002021>	3	34	0.088235294117647058823529
"ruffle organization"	<http://purl.obolibrary.org/obo/GO_0031529>	3	34	0.088235294117647058823529
"skeletal muscle fiber development"	<http://purl.obolibrary.org/obo/GO_0048741>	3	34	0.088235294117647058823529
"positive regulation of angiogenesis"	<http://purl.obolibrary.org/obo/GO_0045766>	20	227	0.088105726872246696035242
"epidermal growth factor receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0007173>	5	57	0.087719298245614035087719
"glutathione metabolic process"	<http://purl.obolibrary.org/obo/GO_0006749>	9	103	0.087378640776699029126213
"fatty acid biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0006633>	13	149	0.087248322147651006711409
"lung development"	<http://purl.obolibrary.org/obo/GO_0030324>	21	241	0.08713692946058091286307
"G1/S transition of mitotic cell cycle"	<http://purl.obolibrary.org/obo/GO_0000082>	8	92	0.086956521739130434782608
"cellular response to arsenic-containing substance"	<http://purl.obolibrary.org/obo/GO_0071243>	2	23	0.086956521739130434782608
"dorsal/ventral neural tube patterning"	<http://purl.obolibrary.org/obo/GO_0021904>	2	23	0.086956521739130434782608
"estrogen metabolic process"	<http://purl.obolibrary.org/obo/GO_0008210>	2	23	0.086956521739130434782608
"iron ion transmembrane transport"	<http://purl.obolibrary.org/obo/GO_0034755>	2	23	0.086956521739130434782608
"mRNA transcription by RNA polymerase II"	<http://purl.obolibrary.org/obo/GO_0042789>	2	23	0.086956521739130434782608
"macromolecule depalmitoylation"	<http://purl.obolibrary.org/obo/GO_0098734>	2	23	0.086956521739130434782608
"negative regulation of androgen receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0060766>	2	23	0.086956521739130434782608
"positive regulation of alpha-beta T cell proliferation"	<http://purl.obolibrary.org/obo/GO_0046641>	2	23	0.086956521739130434782608
"positive regulation of histone deacetylation"	<http://purl.obolibrary.org/obo/GO_0031065>	2	23	0.086956521739130434782608
"regulation of protein targeting to mitochondrion"	<http://purl.obolibrary.org/obo/GO_1903214>	2	23	0.086956521739130434782608
"retina layer formation"	<http://purl.obolibrary.org/obo/GO_0010842>	2	23	0.086956521739130434782608
"sympathetic nervous system development"	<http://purl.obolibrary.org/obo/GO_0048485>	2	23	0.086956521739130434782608
"embryonic cranial skeleton morphogenesis"	<http://purl.obolibrary.org/obo/GO_0048701>	5	58	0.086206896551724137931034
"negative regulation of interleukin-6 production"	<http://purl.obolibrary.org/obo/GO_0032715>	5	58	0.086206896551724137931034
"positive regulation of T cell proliferation"	<http://purl.obolibrary.org/obo/GO_0042102>	10	116	0.086206896551724137931034
"T cell mediated cytotoxicity"	<http://purl.obolibrary.org/obo/GO_0001913>	3	35	0.085714285714285714285714
"cell cycle arrest"	<http://purl.obolibrary.org/obo/GO_0007050>	12	140	0.085714285714285714285714
"negative regulation of Rho protein signal transduction"	<http://purl.obolibrary.org/obo/GO_0035024>	3	35	0.085714285714285714285714
"negative regulation of epithelial to mesenchymal transition"	<http://purl.obolibrary.org/obo/GO_0010719>	3	35	0.085714285714285714285714
"proximal/distal pattern formation"	<http://purl.obolibrary.org/obo/GO_0009954>	3	35	0.085714285714285714285714
"fat cell differentiation"	<http://purl.obolibrary.org/obo/GO_0045444>	11	129	0.085271317829457364341085
"extrinsic apoptotic signaling pathway in absence of ligand"	<http://purl.obolibrary.org/obo/GO_0097192>	4	47	0.085106382978723404255319
"positive regulation of smooth muscle contraction"	<http://purl.obolibrary.org/obo/GO_0045987>	4	47	0.085106382978723404255319
"memory"	<http://purl.obolibrary.org/obo/GO_0007613>	15	177	0.084745762711864406779661
"sensory perception of sound"	<http://purl.obolibrary.org/obo/GO_0007605>	20	237	0.084388185654008438818565
"neuromuscular process controlling balance"	<http://purl.obolibrary.org/obo/GO_0050885>	7	83	0.084337349397590361445783
"BMP signaling pathway"	<http://purl.obolibrary.org/obo/GO_0030509>	8	95	0.08421052631578947368421
"negative regulation of protein ubiquitination"	<http://purl.obolibrary.org/obo/GO_0031397>	8	95	0.08421052631578947368421
"odontogenesis of dentin-containing tooth"	<http://purl.obolibrary.org/obo/GO_0042475>	8	95	0.08421052631578947368421
"L-arginine transport"	<http://purl.obolibrary.org/obo/GO_1902023>	1	12	0.083333333333333333333333
"Leydig cell differentiation"	<http://purl.obolibrary.org/obo/GO_0033327>	1	12	0.083333333333333333333333
"adherens junction assembly"	<http://purl.obolibrary.org/obo/GO_0034333>	3	36	0.083333333333333333333333
"arginine transmembrane transport"	<http://purl.obolibrary.org/obo/GO_1903826>	1	12	0.083333333333333333333333
"auditory receptor cell stereocilium organization"	<http://purl.obolibrary.org/obo/GO_0060088>	2	24	0.083333333333333333333333
"behavioral response to pain"	<http://purl.obolibrary.org/obo/GO_0048266>	3	36	0.083333333333333333333333
"cGMP biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0006182>	3	36	0.083333333333333333333333
"cellular hypotonic response"	<http://purl.obolibrary.org/obo/GO_0071476>	1	12	0.083333333333333333333333
"cellular response to fluid shear stress"	<http://purl.obolibrary.org/obo/GO_0071498>	2	24	0.083333333333333333333333
"cholesterol catabolic process"	<http://purl.obolibrary.org/obo/GO_0006707>	1	12	0.083333333333333333333333
"complement activation, lectin pathway"	<http://purl.obolibrary.org/obo/GO_0001867>	1	12	0.083333333333333333333333
"copper ion transport"	<http://purl.obolibrary.org/obo/GO_0006825>	3	36	0.083333333333333333333333
"eosinophil chemotaxis"	<http://purl.obolibrary.org/obo/GO_0048245>	2	24	0.083333333333333333333333
"epithelial to mesenchymal transition involved in endocardial cushion formation"	<http://purl.obolibrary.org/obo/GO_0003198>	1	12	0.083333333333333333333333
"galactose metabolic process"	<http://purl.obolibrary.org/obo/GO_0006012>	2	24	0.083333333333333333333333
"glomerular filtration"	<http://purl.obolibrary.org/obo/GO_0003094>	1	12	0.083333333333333333333333
"heterochromatin assembly"	<http://purl.obolibrary.org/obo/GO_0031507>	1	12	0.083333333333333333333333
"hyaluronan catabolic process"	<http://purl.obolibrary.org/obo/GO_0030214>	1	12	0.083333333333333333333333
"immunoglobulin secretion"	<http://purl.obolibrary.org/obo/GO_0048305>	1	12	0.083333333333333333333333
"integrin activation"	<http://purl.obolibrary.org/obo/GO_0033622>	1	12	0.083333333333333333333333
"interferon-gamma-mediated signaling pathway"	<http://purl.obolibrary.org/obo/GO_0060333>	1	12	0.083333333333333333333333
"intracellular sequestering of iron ion"	<http://purl.obolibrary.org/obo/GO_0006880>	1	12	0.083333333333333333333333
"limb bud formation"	<http://purl.obolibrary.org/obo/GO_0060174>	1	12	0.083333333333333333333333
"locomotion involved in locomotory behavior"	<http://purl.obolibrary.org/obo/GO_0031987>	1	12	0.083333333333333333333333
"low-density lipoprotein particle clearance"	<http://purl.obolibrary.org/obo/GO_0034383>	1	12	0.083333333333333333333333
"luteinization"	<http://purl.obolibrary.org/obo/GO_0001553>	1	12	0.083333333333333333333333
"membrane hyperpolarization"	<http://purl.obolibrary.org/obo/GO_0060081>	1	12	0.083333333333333333333333
"mitral valve morphogenesis"	<http://purl.obolibrary.org/obo/GO_0003183>	1	12	0.083333333333333333333333
"negative regulation of T cell proliferation"	<http://purl.obolibrary.org/obo/GO_0042130>	8	96	0.083333333333333333333333
"negative regulation of interferon-alpha production"	<http://purl.obolibrary.org/obo/GO_0032687>	1	12	0.083333333333333333333333
"neural plate development"	<http://purl.obolibrary.org/obo/GO_0001840>	1	12	0.083333333333333333333333
"pigment granule organization"	<http://purl.obolibrary.org/obo/GO_0048753>	2	24	0.083333333333333333333333
"platelet-derived growth factor receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0048008>	6	72	0.083333333333333333333333
"positive regulation of antigen processing and presentation"	<http://purl.obolibrary.org/obo/GO_0002579>	1	12	0.083333333333333333333333
"positive regulation of cell growth involved in cardiac muscle cell development"	<http://purl.obolibrary.org/obo/GO_0061051>	2	24	0.083333333333333333333333
"positive regulation of cholesterol esterification"	<http://purl.obolibrary.org/obo/GO_0010873>	1	12	0.083333333333333333333333
"positive regulation of delayed rectifier potassium channel activity"	<http://purl.obolibrary.org/obo/GO_1902261>	1	12	0.083333333333333333333333
"positive regulation of fatty acid oxidation"	<http://purl.obolibrary.org/obo/GO_0046321>	2	24	0.083333333333333333333333
"positive regulation of focal adhesion assembly"	<http://purl.obolibrary.org/obo/GO_0051894>	3	36	0.083333333333333333333333
"positive regulation of substrate adhesion-dependent cell spreading"	<http://purl.obolibrary.org/obo/GO_1900026>	4	48	0.083333333333333333333333
"positive regulation of superoxide anion generation"	<http://purl.obolibrary.org/obo/GO_0032930>	2	24	0.083333333333333333333333
"positive regulation of vascular endothelial growth factor signaling pathway"	<http://purl.obolibrary.org/obo/GO_1900748>	1	12	0.083333333333333333333333
"post-anal tail morphogenesis"	<http://purl.obolibrary.org/obo/GO_0036342>	2	24	0.083333333333333333333333
"postsynaptic membrane assembly"	<http://purl.obolibrary.org/obo/GO_0097104>	1	12	0.083333333333333333333333
"progesterone receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0050847>	1	12	0.083333333333333333333333
"proteasomal ubiquitin-independent protein catabolic process"	<http://purl.obolibrary.org/obo/GO_0010499>	2	24	0.083333333333333333333333
"protein localization to ciliary membrane"	<http://purl.obolibrary.org/obo/GO_1903441>	1	12	0.083333333333333333333333
"protein localization to phagophore assembly site"	<http://purl.obolibrary.org/obo/GO_0034497>	2	24	0.083333333333333333333333
"pyrimidine dimer repair"	<http://purl.obolibrary.org/obo/GO_0006290>	1	12	0.083333333333333333333333
"receptor recycling"	<http://purl.obolibrary.org/obo/GO_0001881>	1	12	0.083333333333333333333333
"regulation of chloride transport"	<http://purl.obolibrary.org/obo/GO_2001225>	1	12	0.083333333333333333333333
"regulation of glucocorticoid metabolic process"	<http://purl.obolibrary.org/obo/GO_0031943>	1	12	0.083333333333333333333333
"regulation of sarcomere organization"	<http://purl.obolibrary.org/obo/GO_0060297>	1	12	0.083333333333333333333333
"sebaceous gland development"	<http://purl.obolibrary.org/obo/GO_0048733>	1	12	0.083333333333333333333333
"serotonin transport"	<http://purl.obolibrary.org/obo/GO_0006837>	1	12	0.083333333333333333333333
"skin morphogenesis"	<http://purl.obolibrary.org/obo/GO_0043589>	1	12	0.083333333333333333333333
"vascular smooth muscle cell development"	<http://purl.obolibrary.org/obo/GO_0097084>	1	12	0.083333333333333333333333
"vocal learning"	<http://purl.obolibrary.org/obo/GO_0042297>	1	12	0.083333333333333333333333
"xenobiotic transport"	<http://purl.obolibrary.org/obo/GO_0042908>	1	12	0.083333333333333333333333
"hematopoietic progenitor cell differentiation"	<http://purl.obolibrary.org/obo/GO_0002244>	12	145	0.082758620689655172413793
"blood coagulation"	<http://purl.obolibrary.org/obo/GO_0007596>	16	194	0.082474226804123711340206
"bone remodeling"	<http://purl.obolibrary.org/obo/GO_0046849>	5	61	0.081967213114754098360655
"smoothened signaling pathway"	<http://purl.obolibrary.org/obo/GO_0007224>	9	110	0.081818181818181818181818
"negative regulation of transcription by RNA polymerase II"	<http://purl.obolibrary.org/obo/GO_0000122>	94	1151	0.081668114682884448305821
"establishment of endothelial barrier"	<http://purl.obolibrary.org/obo/GO_0061028>	4	49	0.081632653061224489795918
"intrinsic apoptotic signaling pathway in response to DNA damage"	<http://purl.obolibrary.org/obo/GO_0008630>	8	98	0.081632653061224489795918
"positive regulation of JUN kinase activity"	<http://purl.obolibrary.org/obo/GO_0043507>	8	98	0.081632653061224489795918
"positive regulation of interleukin-10 production"	<http://purl.obolibrary.org/obo/GO_0032733>	4	49	0.081632653061224489795918
"response to copper ion"	<http://purl.obolibrary.org/obo/GO_0046688>	4	49	0.081632653061224489795918
"peptidyl-serine phosphorylation"	<http://purl.obolibrary.org/obo/GO_0018105>	16	197	0.081218274111675126903553
"glutamate metabolic process"	<http://purl.obolibrary.org/obo/GO_0006536>	3	37	0.081081081081081081081081
"platelet aggregation"	<http://purl.obolibrary.org/obo/GO_0070527>	3	37	0.081081081081081081081081
"positive regulation of DNA binding"	<http://purl.obolibrary.org/obo/GO_0043388>	6	74	0.081081081081081081081081
"arachidonic acid metabolic process"	<http://purl.obolibrary.org/obo/GO_0019369>	7	87	0.080459770114942528735632
"glycogen metabolic process"	<http://purl.obolibrary.org/obo/GO_0005977>	7	87	0.080459770114942528735632
"peptidyl-threonine phosphorylation"	<http://purl.obolibrary.org/obo/GO_0018107>	7	87	0.080459770114942528735632
"platelet activation"	<http://purl.obolibrary.org/obo/GO_0030168>	7	87	0.080459770114942528735632
"Rac protein signal transduction"	<http://purl.obolibrary.org/obo/GO_0016601>	2	25	0.08
"Wnt signaling pathway, planar cell polarity pathway"	<http://purl.obolibrary.org/obo/GO_0060071>	2	25	0.08
"activation of NF-kappaB-inducing kinase activity"	<http://purl.obolibrary.org/obo/GO_0007250>	2	25	0.08
"acylglycerol catabolic process"	<http://purl.obolibrary.org/obo/GO_0046464>	2	25	0.08
"amelogenesis"	<http://purl.obolibrary.org/obo/GO_0097186>	2	25	0.08
"cellular response to estrogen stimulus"	<http://purl.obolibrary.org/obo/GO_0071391>	2	25	0.08
"embryonic digit morphogenesis"	<http://purl.obolibrary.org/obo/GO_0042733>	6	75	0.08
"entrainment of circadian clock"	<http://purl.obolibrary.org/obo/GO_0009649>	2	25	0.08
"glycine metabolic process"	<http://purl.obolibrary.org/obo/GO_0006544>	2	25	0.08
"inner ear auditory receptor cell differentiation"	<http://purl.obolibrary.org/obo/GO_0042491>	4	50	0.08
"mitochondrial calcium ion transmembrane transport"	<http://purl.obolibrary.org/obo/GO_0006851>	2	25	0.08
"negative regulation of NIK/NF-kappaB signaling"	<http://purl.obolibrary.org/obo/GO_1901223>	2	25	0.08
"negative regulation of fibroblast migration"	<http://purl.obolibrary.org/obo/GO_0010764>	2	25	0.08
"negative regulation of glucose import"	<http://purl.obolibrary.org/obo/GO_0046325>	2	25	0.08
"negative regulation of peptidyl-threonine phosphorylation"	<http://purl.obolibrary.org/obo/GO_0010801>	2	25	0.08
"netrin-activated signaling pathway"	<http://purl.obolibrary.org/obo/GO_0038007>	2	25	0.08
"phagolysosome assembly"	<http://purl.obolibrary.org/obo/GO_0001845>	2	25	0.08
"signal transduction involved in regulation of gene expression"	<http://purl.obolibrary.org/obo/GO_0023019>	2	25	0.08
"tetrahydrofolate interconversion"	<http://purl.obolibrary.org/obo/GO_0035999>	2	25	0.08
"type B pancreatic cell development"	<http://purl.obolibrary.org/obo/GO_0003323>	2	25	0.08
"glomerulus development"	<http://purl.obolibrary.org/obo/GO_0032835>	5	63	0.079365079365079365079365
"intrinsic apoptotic signaling pathway by p53 class mediator"	<http://purl.obolibrary.org/obo/GO_0072332>	5	63	0.079365079365079365079365
"defense response to Gram-negative bacterium"	<http://purl.obolibrary.org/obo/GO_0050829>	11	139	0.079136690647482014388489
"membrane raft organization"	<http://purl.obolibrary.org/obo/GO_0031579>	3	38	0.078947368421052631578947
"natural killer cell mediated cytotoxicity"	<http://purl.obolibrary.org/obo/GO_0042267>	3	38	0.078947368421052631578947
"positive regulation of nitric oxide biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0045429>	6	76	0.078947368421052631578947
"regulation of protein kinase A signaling"	<http://purl.obolibrary.org/obo/GO_0010738>	3	38	0.078947368421052631578947
"response to cholesterol"	<http://purl.obolibrary.org/obo/GO_0070723>	3	38	0.078947368421052631578947
"positive regulation of I-kappaB kinase/NF-kappaB signaling"	<http://purl.obolibrary.org/obo/GO_0043123>	16	203	0.078817733990147783251231
"post-embryonic development"	<http://purl.obolibrary.org/obo/GO_0009791>	12	154	0.077922077922077922077922
"positive regulation of NF-kappaB transcription factor activity"	<http://purl.obolibrary.org/obo/GO_0051092>	14	181	0.077348066298342541436464
"DNA damage response, detection of DNA damage"	<http://purl.obolibrary.org/obo/GO_0042769>	1	13	0.076923076923076923076923
"N-acetylglucosamine metabolic process"	<http://purl.obolibrary.org/obo/GO_0006044>	2	26	0.076923076923076923076923
"acetate metabolic process"	<http://purl.obolibrary.org/obo/GO_0006083>	1	13	0.076923076923076923076923
"activation of adenylate cyclase activity"	<http://purl.obolibrary.org/obo/GO_0007190>	2	26	0.076923076923076923076923
"activation of transmembrane receptor protein tyrosine kinase activity"	<http://purl.obolibrary.org/obo/GO_0007171>	2	26	0.076923076923076923076923
"adult somatic muscle development"	<http://purl.obolibrary.org/obo/GO_0007527>	1	13	0.076923076923076923076923
"calcium import into the mitochondrion"	<http://purl.obolibrary.org/obo/GO_0036444>	1	13	0.076923076923076923076923
"cellular response to dopamine"	<http://purl.obolibrary.org/obo/GO_1903351>	1	13	0.076923076923076923076923
"cellular response to manganese ion"	<http://purl.obolibrary.org/obo/GO_0071287>	1	13	0.076923076923076923076923
"cerebral cortex neuron differentiation"	<http://purl.obolibrary.org/obo/GO_0021895>	2	26	0.076923076923076923076923
"chaperone-mediated protein transport"	<http://purl.obolibrary.org/obo/GO_0072321>	1	13	0.076923076923076923076923
"development of secondary sexual characteristics"	<http://purl.obolibrary.org/obo/GO_0045136>	1	13	0.076923076923076923076923
"diaphragm development"	<http://purl.obolibrary.org/obo/GO_0060539>	1	13	0.076923076923076923076923
"embryonic forelimb morphogenesis"	<http://purl.obolibrary.org/obo/GO_0035115>	3	39	0.076923076923076923076923
"establishment of endothelial intestinal barrier"	<http://purl.obolibrary.org/obo/GO_0090557>	1	13	0.076923076923076923076923
"gamma-delta T cell activation"	<http://purl.obolibrary.org/obo/GO_0046629>	1	13	0.076923076923076923076923
"growth hormone receptor signaling pathway via JAK-STAT"	<http://purl.obolibrary.org/obo/GO_0060397>	1	13	0.076923076923076923076923
"immunological synapse formation"	<http://purl.obolibrary.org/obo/GO_0001771>	1	13	0.076923076923076923076923
"intermediate filament organization"	<http://purl.obolibrary.org/obo/GO_0045109>	3	39	0.076923076923076923076923
"intracellular cholesterol transport"	<http://purl.obolibrary.org/obo/GO_0032367>	2	26	0.076923076923076923076923
"leukocyte tethering or rolling"	<http://purl.obolibrary.org/obo/GO_0050901>	2	26	0.076923076923076923076923
"lung secretory cell differentiation"	<http://purl.obolibrary.org/obo/GO_0061140>	1	13	0.076923076923076923076923
"multi-ciliated epithelial cell differentiation"	<http://purl.obolibrary.org/obo/GO_1903251>	1	13	0.076923076923076923076923
"myotube cell development"	<http://purl.obolibrary.org/obo/GO_0014904>	3	39	0.076923076923076923076923
"negative regulation of I-kappaB kinase/NF-kappaB signaling"	<http://purl.obolibrary.org/obo/GO_0043124>	5	65	0.076923076923076923076923
"negative regulation of activated T cell proliferation"	<http://purl.obolibrary.org/obo/GO_0046007>	1	13	0.076923076923076923076923
"negative regulation of cellular senescence"	<http://purl.obolibrary.org/obo/GO_2000773>	2	26	0.076923076923076923076923
"negative regulation of cytosolic calcium ion concentration"	<http://purl.obolibrary.org/obo/GO_0051481>	2	26	0.076923076923076923076923
"negative regulation of excitatory postsynaptic potential"	<http://purl.obolibrary.org/obo/GO_0090394>	1	13	0.076923076923076923076923
"negative regulation of glycolytic process"	<http://purl.obolibrary.org/obo/GO_0045820>	1	13	0.076923076923076923076923
"negative regulation of histone H3-K9 methylation"	<http://purl.obolibrary.org/obo/GO_0051573>	1	13	0.076923076923076923076923
"negative regulation of natural killer cell activation"	<http://purl.obolibrary.org/obo/GO_0032815>	1	13	0.076923076923076923076923
"negative regulation of natural killer cell mediated cytotoxicity"	<http://purl.obolibrary.org/obo/GO_0045953>	2	26	0.076923076923076923076923
"ovulation"	<http://purl.obolibrary.org/obo/GO_0030728>	2	26	0.076923076923076923076923
"paraxial mesoderm morphogenesis"	<http://purl.obolibrary.org/obo/GO_0048340>	1	13	0.076923076923076923076923
"peptidoglycan catabolic process"	<http://purl.obolibrary.org/obo/GO_0009253>	1	13	0.076923076923076923076923
"planar cell polarity pathway involved in neural tube closure"	<http://purl.obolibrary.org/obo/GO_0090179>	1	13	0.076923076923076923076923
"positive regulation of B cell receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0050861>	1	13	0.076923076923076923076923
"positive regulation of acrosome reaction"	<http://purl.obolibrary.org/obo/GO_2000344>	1	13	0.076923076923076923076923
"positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis"	<http://purl.obolibrary.org/obo/GO_1903589>	1	13	0.076923076923076923076923
"positive regulation of hypersensitivity"	<http://purl.obolibrary.org/obo/GO_0002885>	1	13	0.076923076923076923076923
"positive regulation of insulin-like growth factor receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0043568>	1	13	0.076923076923076923076923
"positive regulation of isotype switching to IgG isotypes"	<http://purl.obolibrary.org/obo/GO_0048304>	1	13	0.076923076923076923076923
"positive regulation of mammary gland epithelial cell proliferation"	<http://purl.obolibrary.org/obo/GO_0033601>	1	13	0.076923076923076923076923
"positive regulation of non-motile cilium assembly"	<http://purl.obolibrary.org/obo/GO_1902857>	1	13	0.076923076923076923076923
"positive regulation of protein export from nucleus"	<http://purl.obolibrary.org/obo/GO_0046827>	2	26	0.076923076923076923076923
"positive regulation of receptor biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0010870>	1	13	0.076923076923076923076923
"positive regulation of smoothened signaling pathway"	<http://purl.obolibrary.org/obo/GO_0045880>	3	39	0.076923076923076923076923
"positive regulation of synaptic transmission, cholinergic"	<http://purl.obolibrary.org/obo/GO_0032224>	1	13	0.076923076923076923076923
"positive regulation of transmission of nerve impulse"	<http://purl.obolibrary.org/obo/GO_0051971>	1	13	0.076923076923076923076923
"post-embryonic animal organ morphogenesis"	<http://purl.obolibrary.org/obo/GO_0048563>	1	13	0.076923076923076923076923
"programmed cell death involved in cell development"	<http://purl.obolibrary.org/obo/GO_0010623>	1	13	0.076923076923076923076923
"prostaglandin transport"	<http://purl.obolibrary.org/obo/GO_0015732>	1	13	0.076923076923076923076923
"protein localization to non-motile cilium"	<http://purl.obolibrary.org/obo/GO_0097499>	1	13	0.076923076923076923076923
"protein sulfation"	<http://purl.obolibrary.org/obo/GO_0006477>	1	13	0.076923076923076923076923
"purine ribonucleoside catabolic process"	<http://purl.obolibrary.org/obo/GO_0046130>	1	13	0.076923076923076923076923
"regulation of bicellular tight junction assembly"	<http://purl.obolibrary.org/obo/GO_2000810>	2	26	0.076923076923076923076923
"regulation of calcium ion transmembrane transport via high voltage-gated calcium channel"	<http://purl.obolibrary.org/obo/GO_1902514>	1	13	0.076923076923076923076923
"regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion"	<http://purl.obolibrary.org/obo/GO_0010881>	1	13	0.076923076923076923076923
"regulation of protein K63-linked ubiquitination"	<http://purl.obolibrary.org/obo/GO_1900044>	1	13	0.076923076923076923076923
"regulation of respiratory gaseous exchange by neurological system process"	<http://purl.obolibrary.org/obo/GO_0002087>	1	13	0.076923076923076923076923
"regulation of stem cell division"	<http://purl.obolibrary.org/obo/GO_2000035>	1	13	0.076923076923076923076923
"removal of superoxide radicals"	<http://purl.obolibrary.org/obo/GO_0019430>	2	26	0.076923076923076923076923
"renal filtration"	<http://purl.obolibrary.org/obo/GO_0097205>	1	13	0.076923076923076923076923
"response to water deprivation"	<http://purl.obolibrary.org/obo/GO_0009414>	1	13	0.076923076923076923076923
"semaphorin-plexin signaling pathway involved in axon guidance"	<http://purl.obolibrary.org/obo/GO_1902287>	1	13	0.076923076923076923076923
"thymic T cell selection"	<http://purl.obolibrary.org/obo/GO_0045061>	2	26	0.076923076923076923076923
"transdifferentiation"	<http://purl.obolibrary.org/obo/GO_0060290>	1	13	0.076923076923076923076923
"vagus nerve development"	<http://purl.obolibrary.org/obo/GO_0021564>	1	13	0.076923076923076923076923
"chemokine-mediated signaling pathway"	<http://purl.obolibrary.org/obo/GO_0070098>	9	118	0.076271186440677966101694
